Runtime,waypointN,TSPOut,waypoints,ordered_points,missiontime
0.0015385150909423828,10," 
 0 -> 1 -> 2 -> 5 -> 4 -> 8 -> 7 -> 9 -> 6 -> 3 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114)]","[(97, 86), (53, 70), (15, 287), (108, 242), (164, 265), (100, 191), (128, 118), (126, 114), (253, 68), (255, 31), (97, 86)]",96.58967731589009
0.0012884140014648438,11," 
 0 -> 10 -> 1 -> 2 -> 5 -> 4 -> 8 -> 7 -> 9 -> 6 -> 3 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67)]","[(97, 86), (56, 67), (53, 70), (15, 287), (108, 242), (164, 265), (100, 191), (128, 118), (126, 114), (253, 68), (255, 31), (97, 86)]",97.01757749805883
0.0022988319396972656,12," 
 0 -> 9 -> 7 -> 8 -> 2 -> 5 -> 4 -> 6 -> 3 -> 11 -> 10 -> 1 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67), (63, 18)]","[(97, 86), (126, 114), (128, 118), (100, 191), (15, 287), (108, 242), (164, 265), (253, 68), (255, 31), (63, 18), (56, 67), (53, 70), (97, 86)]",97.96029519973801
0.0016028881072998047,13," 
 0 -> 2 -> 12 -> 4 -> 5 -> 8 -> 7 -> 9 -> 6 -> 3 -> 11 -> 10 -> 1 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67), (63, 18), (25, 288)]","[(97, 86), (15, 287), (25, 288), (164, 265), (108, 242), (100, 191), (128, 118), (126, 114), (253, 68), (255, 31), (63, 18), (56, 67), (53, 70), (97, 86)]",104.79701152955109
0.0015957355499267578,14," 
 0 -> 2 -> 12 -> 13 -> 4 -> 5 -> 8 -> 7 -> 9 -> 6 -> 3 -> 11 -> 10 -> 1 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67), (63, 18), (25, 288), (52, 278)]","[(97, 86), (15, 287), (25, 288), (52, 278), (164, 265), (108, 242), (100, 191), (128, 118), (126, 114), (253, 68), (255, 31), (63, 18), (56, 67), (53, 70), (97, 86)]",105.02910541402456
0.0018620491027832031,15," 
 0 -> 9 -> 7 -> 8 -> 2 -> 12 -> 13 -> 5 -> 4 -> 14 -> 6 -> 3 -> 11 -> 10 -> 1 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67), (63, 18), (25, 288), (52, 278), (296, 87)]","[(97, 86), (126, 114), (128, 118), (100, 191), (15, 287), (25, 288), (52, 278), (108, 242), (164, 265), (296, 87), (253, 68), (255, 31), (63, 18), (56, 67), (53, 70), (97, 86)]",103.91460612183046
0.002523660659790039,16," 
 0 -> 9 -> 7 -> 8 -> 5 -> 13 -> 2 -> 12 -> 15 -> 4 -> 14 -> 6 -> 3 -> 11 -> 10 -> 1 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67), (63, 18), (25, 288), (52, 278), (296, 87), (78, 299)]","[(97, 86), (126, 114), (128, 118), (100, 191), (108, 242), (52, 278), (15, 287), (25, 288), (78, 299), (164, 265), (296, 87), (253, 68), (255, 31), (63, 18), (56, 67), (53, 70), (97, 86)]",105.95676634962449
0.0027942657470703125,17," 
 0 -> 9 -> 7 -> 8 -> 5 -> 13 -> 2 -> 12 -> 15 -> 4 -> 14 -> 6 -> 3 -> 11 -> 16 -> 10 -> 1 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67), (63, 18), (25, 288), (52, 278), (296, 87), (78, 299), (12, 17)]","[(97, 86), (126, 114), (128, 118), (100, 191), (108, 242), (52, 278), (15, 287), (25, 288), (78, 299), (164, 265), (296, 87), (253, 68), (255, 31), (63, 18), (12, 17), (56, 67), (53, 70), (97, 86)]",112.93499616806676
0.0026390552520751953,18," 
 0 -> 17 -> 10 -> 1 -> 16 -> 11 -> 3 -> 6 -> 14 -> 4 -> 15 -> 12 -> 2 -> 13 -> 5 -> 8 -> 7 -> 9 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67), (63, 18), (25, 288), (52, 278), (296, 87), (78, 299), (12, 17), (81, 71)]","[(97, 86), (81, 71), (56, 67), (53, 70), (12, 17), (63, 18), (255, 31), (253, 68), (296, 87), (164, 265), (78, 299), (25, 288), (15, 287), (52, 278), (108, 242), (100, 191), (128, 118), (126, 114), (97, 86)]",113.18516777558784
0.003202676773071289,19," 
 0 -> 17 -> 10 -> 1 -> 18 -> 16 -> 11 -> 3 -> 6 -> 14 -> 4 -> 15 -> 12 -> 2 -> 13 -> 5 -> 8 -> 7 -> 9 -> 0
","[(97, 86), (53, 70), (15, 287), (255, 31), (164, 265), (108, 242), (253, 68), (128, 118), (100, 191), (126, 114), (56, 67), (63, 18), (25, 288), (52, 278), (296, 87), (78, 299), (12, 17), (81, 71), (19, 34)]","[(97, 86), (81, 71), (56, 67), (53, 70), (19, 34), (12, 17), (63, 18), (255, 31), (253, 68), (296, 87), (164, 265), (78, 299), (25, 288), (15, 287), (52, 278), (108, 242), (100, 191), (128, 118), (126, 114), (97, 86)]",113.44133320749512
